PC=0000000000000000, REG[ 1]=000000000000000e
PC=0000000000000004, REG[ 2]=0000000000000005
PC=0000000000000008, REG[ 3]=0000000000000001
PC=000000000000000c, REG[ 2]=0000000000000004
PC=0000000000000010, ---
PC=000000000000000c, REG[ 2]=0000000000000003
PC=0000000000000010, ---
PC=000000000000000c, REG[ 2]=0000000000000002
PC=0000000000000010, ---
PC=000000000000000c, REG[ 2]=0000000000000001
PC=0000000000000010, ---
PC=000000000000000c, REG[ 2]=0000000000000000
PC=0000000000000010, ---
PC=0000000000000014, REG[ 5]=000000000000000e
PC=0000000000000018, ---
