PC=0000000000000000, REG[ 1]=000000000000000e
PC=0000000000000004, REG[ 2]=0000000000000005
PC=0000000000000008, REG[ 3]=0000000000000001
PC=000000000000000c, REG[14]=0000000000000100
PC=0000000000000010, REG[ 6]=0000000000000100
PC=0000000000000014, REG[ 2]=0000000000000004
PC=0000000000000018, REG[10]=0000000000000064
PC=000000000000001c, REG[14]=0000000000000200
PC=0000000000000020, REG[15]=0000000000000300
PC=0000000000000024, REG[16]=0000000000000400
PC=0000000000000028, REG[17]=0000000000000500
PC=000000000000002c, REG[17]=0000000000000600
PC=0000000000000030, REG[17]=0000000000000700
PC=0000000000000034, REG[17]=0000000000000800
PC=0000000000000038, REG[17]=0000000000000900
PC=000000000000003c, REG[17]=0000000000000a00
PC=0000000000000040, REG[17]=0000000000000b00
PC=0000000000000044, REG[17]=0000000000000c00
PC=0000000000000048, REG[17]=0000000000000d00
PC=000000000000004c, REG[14]=0000000000000d00
PC=0000000000000050, ---
PC=0000000000000014, REG[ 2]=0000000000000003
PC=0000000000000018, REG[10]=0000000000000064
PC=000000000000001c, REG[14]=0000000000000e00
PC=0000000000000020, REG[15]=0000000000000f00
PC=0000000000000024, REG[16]=0000000000001000
PC=0000000000000028, REG[17]=0000000000001100
PC=000000000000002c, REG[17]=0000000000001200
PC=0000000000000030, REG[17]=0000000000001300
PC=0000000000000034, REG[17]=0000000000001400
PC=0000000000000038, REG[17]=0000000000001500
PC=000000000000003c, REG[17]=0000000000001600
PC=0000000000000040, REG[17]=0000000000001700
PC=0000000000000044, REG[17]=0000000000001800
PC=0000000000000048, REG[17]=0000000000001900
PC=000000000000004c, REG[14]=0000000000001900
PC=0000000000000050, ---
PC=0000000000000014, REG[ 2]=0000000000000002
PC=0000000000000018, REG[10]=0000000000000064
PC=000000000000001c, REG[14]=0000000000001a00
PC=0000000000000020, REG[15]=0000000000001b00
PC=0000000000000024, REG[16]=0000000000001c00
PC=0000000000000028, REG[17]=0000000000001d00
PC=000000000000002c, REG[17]=0000000000001e00
PC=0000000000000030, REG[17]=0000000000001f00
PC=0000000000000034, REG[17]=0000000000002000
PC=0000000000000038, REG[17]=0000000000002100
PC=000000000000003c, REG[17]=0000000000002200
PC=0000000000000040, REG[17]=0000000000002300
PC=0000000000000044, REG[17]=0000000000002400
PC=0000000000000048, REG[17]=0000000000002500
PC=000000000000004c, REG[14]=0000000000002500
PC=0000000000000050, ---
PC=0000000000000014, REG[ 2]=0000000000000001
PC=0000000000000018, REG[10]=0000000000000064
PC=000000000000001c, REG[14]=0000000000002600
PC=0000000000000020, REG[15]=0000000000002700
PC=0000000000000024, REG[16]=0000000000002800
PC=0000000000000028, REG[17]=0000000000002900
PC=000000000000002c, REG[17]=0000000000002a00
PC=0000000000000030, REG[17]=0000000000002b00
PC=0000000000000034, REG[17]=0000000000002c00
PC=0000000000000038, REG[17]=0000000000002d00
PC=000000000000003c, REG[17]=0000000000002e00
PC=0000000000000040, REG[17]=0000000000002f00
PC=0000000000000044, REG[17]=0000000000003000
PC=0000000000000048, REG[17]=0000000000003100
PC=000000000000004c, REG[14]=0000000000003100
PC=0000000000000050, ---
PC=0000000000000014, REG[ 2]=0000000000000000
PC=0000000000000018, REG[10]=0000000000000064
PC=000000000000001c, REG[14]=0000000000003200
PC=0000000000000020, REG[15]=0000000000003300
PC=0000000000000024, REG[16]=0000000000003400
PC=0000000000000028, REG[17]=0000000000003500
PC=000000000000002c, REG[17]=0000000000003600
PC=0000000000000030, REG[17]=0000000000003700
PC=0000000000000034, REG[17]=0000000000003800
PC=0000000000000038, REG[17]=0000000000003900
PC=000000000000003c, REG[17]=0000000000003a00
PC=0000000000000040, REG[17]=0000000000003b00
PC=0000000000000044, REG[17]=0000000000003c00
PC=0000000000000048, REG[17]=0000000000003d00
PC=000000000000004c, REG[14]=0000000000003d00
PC=0000000000000050, ---
PC=0000000000000054, REG[ 5]=000000000000000e
PC=0000000000000058, ---
