                                                                                                        D-MEM Bus &
Cycle:      IF      |     ID      |     DI      |     IS      |     EX      |     CMP     |     RE      Reg Result
    0:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   4:-       
    1:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   4:-       
    1:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   4:-       
    1:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   4:-       
    1:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   4:-       
    1:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   4:-       
    1:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    2:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    2:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    2:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    2:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    2:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    2:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    3:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    3:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    3:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    3:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    3:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    3:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    4:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    4:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    4:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    4:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    4:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    4:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    5:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    5:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    5:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    5:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    5:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    5:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    6:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    6:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    6:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    6:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    6:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    6:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 2
    7:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 2
    7:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 2
    7:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 2
    7:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 2
    7:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 2
    7:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    8:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    8:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    8:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    8:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    8:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    8:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    9:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    9:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    9:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    9:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    9:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
    9:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
   10:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
   10:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
   10:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
   10:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
   10:    0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       
   10:    4:lda     |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   11:    4:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
