PC=0000000000000000, REG[ 5]=0000000000000bad
PC=0000000000000004, REG[ 1]=0000000000001000
PC=0000000000000008, ---
PC=000000000000000c, ---
PC=0000000000000010, ---
PC=0000000000000014, ---
PC=0000000000000018, ---
PC=000000000000001c, ---
PC=0000000000000020, ---
PC=0000000000000024, ---
PC=0000000000000028, ---
PC=000000000000002c, ---
PC=0000000000000030, ---
PC=0000000000000034, ---
PC=0000000000000038, ---
PC=000000000000003c, ---
PC=0000000000000040, ---
PC=0000000000000044, ---
PC=0000000000000048, ---
PC=000000000000004c, ---
